"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C2","X12.5fmol_C3","X12.5fmol_C4","X12.5fmol_C8","X12.5fmol_C9","X12.5fmol_C10","X25fmol_semtumorS36","X25fmol_semtumorS40","X25fmol_semtumorS49","X25fmol_semtumorS61","X25fmol_semtumorS64","X25fmol_semtumorS68","X25fmol_semtumorT16","X50fmol_T1T2S57","X50fmol_T1T2S77","X50fmol_T1T2S78","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S44","X100fmol_T3T4S45","X100fmol_T3T4S81","X100fmol_T3T4T2","X100fmol_T3T4T5","X100fmol_T3T4T65","X100fmol_T3T4T9"
"P00330_ADH1","P00330_ADH1","1","1","2.78479136485623","1.36242277190839","2.42676729592571","4.29335065809009","2.60889407843485","3.35341571821518e-16","P00330_ADH1","27.43086","26.84206","26.93697","27.35498","27.73383","27.08274","29.06106","28.50964","28.16954","28.91308","28.886","27.63201","28.71326","29.31223","29.76199","30.45435","30.69876","30.02644","29.96966","31.36771","30.53482","31.49109","30.39785","29.45289","29.12201","29.17752"
"P00924_ENO1","P00924_ENO1","4","2","0.10653387853622","0.0690328711991245","0.315040762097331","0.62905792946612","0.517736707361132","1.73110705890702","P00924_ENO1","28.13006","26.9486","26.89458","26.95947","28.11138","27.14715","28.0592","28.48335","27.4817","28.20041","28.71895","27.59477","28.57669","28.42089","28.64509","29.57114","30.08436","29.04682","29.50773","30.95227","30.01452","31.07444","30.36401","29.01433","28.64986","28.53827"
"E5RHG6_TBCA","E5RHG6_TBCA","32","3","0.160000267371371","0.000760980270468055","0.148837191138753","0.0711699735256817","0.402511613890223","0.984342196314021","E5RHG6_TBCA","20.97162","20.92455","21.93416","22.22066","21.28523","21.51869","22.40187","21.81339","23.00636","20.91452","21.33282","22.4819","21.61279","21.09036","20.22682","21.11737","22.95349","21.66952","22.38664","20.65543","21.73723","21.34169","20.64421","0","0","0"
"P52209_PGD","P52209_PGD","9","4","0.285903543501782","0.0814412592915038","0.01326911781213","0.373322611670128","0.0431144623020329","0.581854070768233","P52209_PGD","24.05391","24.97036","25.32124","24.89569","24.92597","25.56075","25.21985","26.41759","26.14313","23.77676","24.67616","25.81529","24.6147","24.35669","23.70345","23.31962","23.83036","24.40886","22.46431","24.11267","26.18191","25.2798","25.10029","24.62132","24.46775","24.70129"
"P00450_CP","P00450_CP","29","5","0.30288648083495","0.473121930514176","0.0766228914271936","0.0705846579777793","0.0154160850736893","0.133978075645742","P00450_CP","22.74419","23.30396","24.15391","23.89957","23.10553","22.68033","26.10807","24.29544","23.85833","25.65668","23.44544","25.63868","25.59653","24.89527","24.48475","23.33156","22.93962","24.62165","25.72161","25.89472","25.22652","22.88008","25.31965","25.40656","27.71699","23.5775"
"P04080_CSTB","P04080_CSTB","18","6","0.592142984073467","0.119012511100761","0.0225066520528548","0.0520579858594743","0.0169436379058495","0.0123114085187725","P04080_CSTB","28.67761","28.32522","29.64957","28.76894","29.12317","28.94003","27.77587","25.82651","28.40479","27.87144","27.65212","28.56525","27.68919","28.09954","27.03192","28.6302","28.67711","27.68599","28.90475","27.33543","29.06738","27.60491","28.47588","28.06286","25.74709","28.17931"
"P04438_","P04438_","27","7","0.00395462678450323","0.00707573281697093","0.00494360537419876","0.539851083297878","0.000737036916641899","0.118267948689284","P04438_","0","0","21.68663","0","22.68153","22.29597","22.93025","23.69519","23.15772","24.2815","0","0","0","22.06158","23.05061","22.93278","22.5595","23.4148","22.25744","0","0","0","21.79432","21.06933","0","21.92426"
"P12429_ANXA3","P12429_ANXA3","10","8","0.0741033130736749","0.00183937705581805","0.000624392948424197","0.521196146239489","0.0146057635716913","0.00043153241077773","P12429_ANXA3","23.59707","21.73773","21.62154","21.3218","22.08219","21.64887","0","22.25606","0","0","21.78245","19.55174","21.69774","21.29844","20.91714","0","22.01185","21.78867","21.36864","22.90452","22.91366","23.38627","21.16085","28.09542","22.42877","24.20404"
"P19961_AMY2B","P19961_AMY2B","11","9","0.00630168477463275","0.00745575484655182","0.0277144484047249","0.111644409652116","0.0617911548190162","0.275242047179993","P19961_AMY2B","26.97454","31.4352","30.88845","29.40833","31.03767","28.1437","28.15374","29.80676","31.09409","31.41785","31.96155","28.26763","29.46766","29.9211","29.67042","27.89764","29.17348","30.6513","30.85942","27.29167","28.04568","26.69896","25.10881","23.39126","29.57431","26.98999"
"P00489_PYGM","P00489_PYGM","2","10","0.0452338916179742","0.0670311458240726","0.0675570482430886","0.0269622974809244","0.15335219992855","0.0224965984137623","P00489_PYGM","28.01212","27.24554","27.91952","28.11585","28.49675","27.5847","28.98547","28.81821","28.24059","29.32789","29.48581","27.92031","28.95876","29.29253","29.77154","30.64461","30.84086","30.13161","30.04531","31.53464","30.7925","31.73505","30.9451","29.74514","29.51906","29.57192"
