		12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_Ro	12.5fmol_C8	12.5fmol_C9	12.5fmol_C10	25fmol_semtumorS36	25fmol_semtumorS40	25fmol_semtumorS49	25fmol_semtumorS55	25fmol_semtumorS57	25fmol_semtumorS61	25fmol_semtumorS64	25fmol_semtumorS68	25fmol_semtumorT16	50fmol_T1T2S57	50fmol_T1T2S77	50fmol_T1T2S78	50fmol_T1T2S79	50fmol_T1T2T12	50fmol_T1T2T20	50fmol_T1T2T22	50fmol_T1T2T23	100fmol_T3T4S44	100fmol_T3T4S45	100fmol_T3T4S81	100fmol_T3T4S82	100fmol_T3T4T13	100fmol_T3T4T2	100fmol_T3T4T5	100fmol_T3T4T65	100fmol_T3T4T9
Q02487_DSC2	Q02487_DSC2	23.5559	25.61883	24.33776	22.84608	22.73175	23.70187	23.82172	23.08941	22.79765	0	21.99386	21.66865	24.63445	23.61684	23.84575	24.80995	22.16116	22.59603	22.62341	22.37703	23.99343	21.29777	24.34618	22.87823	23.01531	22.39024	24.2589	22.18347	21.62689	21.33156	22.41101	0	20.8012	20.82322
P21333_FLNA	P21333_FLNA	0	21.66158	23.63755	0	21.86869	22.66349	0	24.13297	21.22435	23.28334	22.54411	23.85129	0	0	22.35925	21.95911	0	21.88379	22.0279	0	20.97113	0	22.61063	22.15949	0	0	24.14694	23.63201	22.30349	24.5786	24.44676	25.00958	22.59268	24.29831
P18510-2_IL1RN	P18510-2_IL1RN	25.53742	26.74484	26.70715	25.8394	23.80853	24.62338	26.42905	25.39647	25.05254	22.97037	25.02424	22.75385	23.93885	25.46279	24.63749	27.11128	23.60693	25.8059	23.25039	26.00999	26.28995	24.801	25.03649	24.80243	26.91376	24.79956	24.3256	25.47559	23.4197	24.63716	23.40276	23.64053	24.38291	23.03966
CON__P00761	CON__P00761	31.04661	30.05905	30.53742	31.96575	30.99301	31.30187	31.34752	30.37026	30.02314	30.4342	30.52878	30.59201	29.9194	31.12872	30.60594	28.33981	30.44243	30.05194	31.46349	32.15488	32.18881	32.51883	31.86437	31.3714	31.36781	32.53013	31.80363	32.03325	31.34562	28.94137	31.8178	28.7855	29.51124	29.34047
P12814-3_ACTN1	P12814-3_ACTN1	25.32186	25.76552	26.11555	24.59611	25.42579	25.84216	25.04822	26.11765	24.33245	26.01122	24.25148	24.96895	24.41777	24.41183	25.68215	24.6392	25.54345	24.97408	25.02225	23.61043	25.23162	24.9949	24.9213	25.83887	0	24.3018	26.22199	25.20385	25.25162	24.75486	26.90667	26.55215	26.15209	26.47011
Q14697-2_GANAB	Q14697-2_GANAB	21.63763	21.15931	21.80329	21.5792	21.83815	21.16441	0	21.56402	20.70978	21.24133	21.014	20.69447	21.11946	21.11591	21.26247	21.1943	20.98961	21.29681	20.72075	20.65009	22.35762	21.02655	0	21.09507	0	21.12616	21.46418	21.73901	21.86499	21.59373	21.49702	22.04093	21.2785	0
P30740_SERPINB1	P30740_SERPINB1	26.55117	27.0476	25.12554	26.08956	26.29604	25.69864	25.89493	25.13309	24.6513	22.81318	24.95824	24.8435	24.87764	25.59858	26.56326	27.59939	26.18386	26.27652	24.61611	26.0571	27.01999	25.22199	25.63868	26.14367	26.84709	25.39172	25.12451	26.67761	24.72765	24.84254	22.55159	23.78287	24.34394	24.86594
P31025_LCN1	P31025_LCN1	30.33884	28.29688	27.66959	30.58289	29.43237	27.04604	30.7024	29.07849	25.60812	27.44971	27.06733	29.63571	30.29329	29.42492	29.20865	24.88166	28.54775	29.73496	31.12995	30.68479	29.78759	26.55317	26.7465	29.02195	29.76612	27.07928	30.16782	28.51563	26.98989	21.04634	26.2926	22.13173	26.51838	27.10049
P18206_VCL	P18206_VCL	0	20.89719	21.53521	21.48753	21.89789	21.47472	21.36528	22.15085	20.93287	21.75931	23.4968	21.34348	0	0	21.46901	20.58784	20.3931	20.49199	20.02715	0	0	0	0	19.95943	22.43331	0	22.16843	22.98158	20.61881	21.08874	23.16063	21.3989	24.83408	22.08378
P07195_LDHB	P07195_LDHB	22.75823	23.29179	21.89308	23.26299	23.67422	23.51364	23.06791	24.15862	22.61385	22.65866	23.25897	23.4675	22.03725	23.0861	23.82182	24.1882	22.28616	20.55693	21.06638	0	0	0	23.71879	23.12209	0	0	23.51292	0	0	24.15298	20.9979	21.13909	24.01044	22.05543
B7ZKJ8_ITIH4	B7ZKJ8_ITIH4	0	20.87815	21.01079	0	20.24354	21.80286	21.10194	21.55749	23.61717	22.9864	22.12956	23.15914	21.27844	22.74714	0	20.95653	23.34503	23.04497	22.38187	0	0	23.51665	22.99326	0	22.01025	23.47581	21.59031	0	22.75493	24.99218	22.76939	23.33688	25.17035	22.32567
P12273_PIP	P12273_PIP	30.13038	31.18009	29.33467	30.73957	32.13204	29.9034	29.8931	27.80206	23.47704	26.94581	27.66445	26.07686	30.03039	31.05077	29.27934	28.57928	27.61442	29.4213	31.15116	31.43926	31.43594	28.90196	27.00056	28.34308	27.07674	28.99545	28.28123	30.39928	28.88291	28.43213	27.40162	26.87888	28.71365	26.48933
A0A087WV47_IGHG1	A0A087WV47_IGHG1	26.78818	27.37559	28.08274	27.561	28.02781	29.33452	29.06013	28.43026	31.32405	30.43688	28.43686	30.73409	29.46447	29.92875	27.58785	29.41131	29.1408	29.83883	30.60284	28.21341	27.12021	28.8524	27.08487	29.02641	29.50883	29.99375	28.97057	27.38055	30.78176	28.95693	27.8715	30.86732	31.17653	29.90656
B7Z6Z4_MYL6	B7Z6Z4_MYL6	24.34658	25.67374	24.86962	22.33325	25.99512	24.4891	23.92234	24.81137	22.62471	25.0083	23.62745	23.94387	21.74604	20.77475	23.73995	22.96763	23.18615	24.8768	22.87243	22.21021	22.19337	23.38337	22.32089	23.72338	0	22.15993	23.67422	22.59933	22.71547	25.11652	24.20411	27.06784	24.88199	26.16019
P28325_CST5	P28325_CST5	23.63909	25.142	26.37041	24.73174	22.98602	24.57957	25.24579	0	0	0	0	21.75548	23.15808	26.26288	21.0711	22.1029	24.45494	23.22691	25.59599	26.2589	24.68228	23.60603	22.76314	23.13033	24.34476	23.54522	23.20474	24.18314	24.13461	0	21.45166	0	22.45146	23.29852
D6RF35_GC	D6RF35_GC	22.81304	26.32944	24.95602	24.86566	25.38073	24.56028	24.7963	24.85372	28.26302	26.73854	24.35984	26.20038	26.86207	25.3948	25.73877	26.63851	26.94893	26.59634	26.09418	25.14895	23.00961	26.15271	26.19267	25.6193	26.26842	26.70491	25.13684	24.52666	25.7715	28.05517	24.93988	25.32433	27.49846	24.91547
B4E1Z4_CFB	B4E1Z4_CFB	20.80664	21.39843	22.03325	0	23.1363	22.56948	22.13144	21.95638	25.65957	23.69625	23.1246	23.51184	23.68153	23.71848	0	23.43759	24.00273	24.35508	24.02682	23.37292	0	22.12515	22.9612	23.01893	21.03792	24.0966	21.917	21.03443	25.08918	25.42765	23.63522	23.57092	25.32206	21.63174
