"","all_N","double_error"
"1",1,0.402777777777778
"2",2,0.333333333333333
"3",1,0.444444444444444
"4",1,0.491666666666667
"5",2,0.430555555555556
"6",1,0.475
"7",1,0.525
"8",1,0.5
"9",1,0.333333333333333
"10",2,0.308333333333333
