"","all_N","double_error"
"1",20,0.416666666666667
"2",31,0.425
"3",3,0.402777777777778
"4",48,0.45
"5",3,0.433333333333333
"6",2,0.341666666666667
"7",39,0.383333333333333
"8",4,0.375
"9",45,0.425
"10",49,0.575
