"","all_N","double_error"
"1",38,0.35625
"2",45,0.28125
"3",35,0.31875
"4",19,0.25
"5",40,0.29375
"6",40,0.4
"7",42,0.3375
"8",45,0.322916666666667
"9",34,0.26875
"10",43,0.30625
