"","all_N","double_error"
"1",9,0.427083333333333
"2",9,0.39375
"3",3,0.55625
"4",2,0.5
"5",3,0.50625
"6",4,0.49375
"7",3,0.46875
"8",5,0.55625
"9",2,0.375
"10",1,0.49375
