"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"69","P05089-2_ARG1","P05089-2_ARG1","-0.188","0.2394","0.2587","-0.3219"
"70","O43707_ACTN4","O43707_ACTN4","0.1826","0.0763","0.0276","-0.3215"
"71","P00352_ALDH1A1","P00352_ALDH1A1","0.1521","0.1644","-0.0198","-0.3188"
"72","Q07654_TFF3","Q07654_TFF3","0.1706","0.2436","-0.3173","-0.0725"
"73","P00330_ADH1","P00330_ADH1","0.2068","-0.3168","-0.0849","0.1747"
"74","P11215-2_ITGAM","P11215-2_ITGAM","-0.0313","0.3162","-0.297","0.0669"
"75","CON__P08779_KRT16","CON__P08779_KRT16","0.1758","0.1582","-0.0421","-0.3142"
"76","P16070_CD44","P16070_CD44","0.2632","0.2585","-0.2176","-0.3117"
"77","Q9HD89_RETN","Q9HD89_RETN","0.2914","-0.0465","0.0153","-0.3115"
"78","Q14697-2_GANAB","Q14697-2_GANAB","0.0354","-0.0079","0.2383","-0.3113"
"79","P52907_CAPZA1","P52907_CAPZA1","0.267","-0.0211","0.017","-0.3103"
"80","P07900-2_HSP90AA1","P07900-2_HSP90AA1","0.0488","0.2474","0.0046","-0.3097"
"81","REV__P04280","REV__P04280","-0.1813","0.3082","0.1235","-0.2408"
"82","P01767","P01767","-0.1479","0.0402","0.3046","-0.223"
"83","Q14974_KPNB1","Q14974_KPNB1","0.1268","0.0896","0.0573","-0.3044"
"84","P01598","P01598","0.3027","0.1942","-0.233","-0.2755"
"85","P02814_SMR3B","P02814_SMR3B","0.0063","-0.2965","0.0267","0.258"
"86","P08238_HSP90AB1","P08238_HSP90AB1","0.2957","-0.0361","-0.0198","-0.2858"
"87","Q13404_UBE2V1","Q13404_UBE2V1","-0.1357","-0.2236","0.2957","0.0369"
"88","P08571_CD14","P08571_CD14","-0.294","0.229","0.2951","-0.2302"
"89","P61160_ACTR2","P61160_ACTR2","0.0472","-0.026","0.2278","-0.2948"
"90","P04004_VTN","P04004_VTN","0.1832","0.0226","0.0494","-0.294"
"91","P22314_UBA1","P22314_UBA1","0.0221","0.2928","-0.0228","-0.292"
"92","A0A087WSX4","A0A087WSX4","-0.1314","0.0017","0.291","-0.1878"
"93","P19823_ITIH2","P19823_ITIH2","-0.1238","-0.0094","0.2905","-0.1852"
"94","CON__P13647_KRT5","CON__P13647_KRT5","0.0367","0.1844","-0.2896","0.1106"
"95","P23284_PPIB","P23284_PPIB","0.0742","0.12","0.0657","-0.2833"
"96","P02753_RBP4","P02753_RBP4","-0.2773","0.1385","-0.013","0.2003"
"97","P07108-6_DBI","P07108-6_DBI","0.0495","0.1613","0.0474","-0.2744"
"98","P16401_HIST1H1B","P16401_HIST1H1B","0.0903","0.1428","-0.2701","0.067"
"99","P06310","P06310","0.1142","0.0454","0.0767","-0.2682"
"100","P01593","P01593","-0.2678","0.1369","4e-04","0.1751"
"101","Q9UKR3_KLK13","Q9UKR3_KLK13","-0.2533","0.2657","-0.2026","0.2663"
"102","Q8TAX7_MUC7","Q8TAX7_MUC7","0.0586","0.1029","-0.2661","0.1392"
"103","P06737_PYGL","P06737_PYGL","0.1099","0.0608","0.0654","-0.2654"
"104","P18206_VCL","P18206_VCL","0.1411","0.0269","0.0604","-0.2619"
"105","P00441_SOD1","P00441_SOD1","-0.1831","0.1491","-0.1667","0.259"
"106","P01008_SERPINC1","P01008_SERPINC1","-0.2585","0.1021","0.2308","-0.0698"
"107","P00489_PYGM","P00489_PYGM","0.2055","-0.2579","-0.0965","0.1307"
"108","P80511_S100A12","P80511_S100A12","-0.0999","0.2572","-0.1217","0.0013"
"109","P59665_DEFA1","P59665_DEFA1","0.0541","0.1165","-0.2533","0.1159"
"110","P09429_HMGB1","P09429_HMGB1","0.0193","-0.0153","-0.2221","0.2519"
"111","A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3","-0.2496","0.1691","0.0642","0.0471"
"112","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.1019","0.2486","-0.0406","-0.0823"
"113","Q9Y6R7_FCGBP","Q9Y6R7_FCGBP","-0.1105","-0.2098","0.0774","0.2484"
"114","P01877_IGHA2","P01877_IGHA2","0.0825","0.0953","-0.247","0.0965"
"115","Q02413_DSG1","Q02413_DSG1","-0.0088","0.193","-0.2434","0.1013"
"116","K7ELL7_PRKCSH","K7ELL7_PRKCSH","-0.104","-0.2054","0.0724","0.2423"
"117","O95336_PGLS","O95336_PGLS","-0.2168","-0.029","0.0347","0.2415"
"118","C9JV77_AHSG","C9JV77_AHSG","-0.2408","0.0131","0.0772","0.1777"
"119","Q6P5S2_C6orf58","Q6P5S2_C6orf58","0.0156","0.1138","-0.2406","0.1487"
"120","P21333_FLNA","P21333_FLNA","0.2399","-0.0901","-0.0548","-0.1259"
"121","Q02487_DSC2","Q02487_DSC2","-0.2031","0.2364","-0.1239","0.145"
"122","CON__P13646-1","CON__P13646-1","0.0121","0.2354","-0.1186","-0.1112"
"123","P31146_CORO1A","P31146_CORO1A","-0.1228","0.1901","0.1613","-0.2351"
"124","P04899-4_GNAI2","P04899-4_GNAI2","0.0439","0.2344","-0.2019","-0.05"
"125","P02671_FGA","P02671_FGA","0.055","-0.2313","0.0523","0.1061"
"126","Q9UBG3_CRNN","Q9UBG3_CRNN","0.1612","0.222","-0.2288","-0.1431"
"127","P29508_SERPINB3","P29508_SERPINB3","0.0042","0.1029","-0.2276","0.1576"
"128","P02769_ALB","P02769_ALB","0.176","-0.2237","-0.1037","0.1393"
"129","P00924_ENO1","P00924_ENO1","0.1966","-0.2235","-0.0865","0.0951"
"130","P02760_AMBP","P02760_AMBP","-0.0319","-0.1362","0.2231","-0.0868"
"131","P17931_LGALS3","P17931_LGALS3","-0.0498","0.2185","-0.0623","-0.0876"
"132","P01009_SERPINA1","P01009_SERPINA1","-0.204","-0.2075","0.1949","0.2181"
"133","P02647_APOA1","P02647_APOA1","0.0288","-0.217","0.0877","0.081"
"134","P20160_AZU1","P20160_AZU1","0.179","0.1378","-0.112","-0.2159"
"135","P78417_GSTO1","P78417_GSTO1","-0.1797","0.2149","0.0399","-0.0518"
"136","P08246_ELANE","P08246_ELANE","-0.2138","0.166","0.0517","0.0232"
"137","REV__Q13085-4","REV__Q13085-4","-0.1096","0.2115","-0.085","0.0156"
"138","P30101_PDIA3","P30101_PDIA3","0.1636","0.1848","-0.1417","-0.2104"
"139","B7ZKJ8_ITIH4","B7ZKJ8_ITIH4","0.1161","-0.0275","0.0877","-0.2102"
"140","Q9BRA2_TXNDC17","Q9BRA2_TXNDC17","-0.1722","-0.1674","0.2076","0.1261"
"141","P08603_CFH","P08603_CFH","-0.1887","-0.1543","0.2067","0.1333"
"142","A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","-0.1518","0.1719","0.1812","-0.2061"
"143","P31025_LCN1","P31025_LCN1","-0.1809","0.111","-0.0907","0.2059"
"144","P61158_ACTR3","P61158_ACTR3","-0.2054","0.1036","0.1201","-0.004"
"145","P04040_CAT","P04040_CAT","0.0359","0.1142","-0.2051","0.0832"
"146","P04792_HSPB1","P04792_HSPB1","0.1122","0.0678","-0.2038","0.0391"
"147","P01042-2_KNG1","P01042-2_KNG1","0.0928","-0.0493","0.1233","-0.2028"
"148","P52566_ARHGDIB","P52566_ARHGDIB","0.087","0.0245","-0.2024","0.1101"
"149","P04196_HRG","P04196_HRG","-0.0182","-0.2022","0.1244","0.0783"
"150","P02675_FGB","P02675_FGB","0.0783","-0.2008","0.0998","-0.007"
"151","A0A075B6R9","A0A075B6R9","0.2003","-0.1218","-0.006","-0.1049"
"152","Q68D86_CCDC102B","Q68D86_CCDC102B","-0.1994","0.0356","0.0815","0.102"
"153","P01023_A2M","P01023_A2M","-0.0352","-0.1989","0.1248","0.0944"
"154","P20061_TCN1","P20061_TCN1","-0.1464","-0.1981","0.1657","0.1756"
"155","P02763_ORM1","P02763_ORM1","0.0676","-0.1979","0.1053","-0.0038"
"156","P55058_PLTP","P55058_PLTP","-0.1785","-0.04","0.0448","0.196"
"157","Q14847_LASP1","Q14847_LASP1","0.0336","0.1224","-0.1949","0.0658"
"158","P00450_CP","P00450_CP","0.1072","-0.188","0.0745","-0.0239"
"159","P02750_LRG1","P02750_LRG1","-0.0712","-0.1322","0.1844","0"
"160","P61769_B2M","P61769_B2M","-0.0017","0.0736","-0.1828","0.1417"
"161","P01859_IGHG2","P01859_IGHG2","0.0477","-0.1822","0.1014","0.0082"
"162","P04083_ANXA1","P04083_ANXA1","0.0925","0.0695","-0.1806","0.0333"
"163","P52209_PGD","P52209_PGD","0.0336","0.039","0.0877","-0.1806"
"164","E7EQR4_EZR","E7EQR4_EZR","0.1671","-0.1786","0.1403","-0.18"
"165","P07339_CTSD","P07339_CTSD","-0.0997","0.1789","-0.054","5e-04"
"166","P01861_IGHG4","P01861_IGHG4","-0.0295","-0.1685","0.1786","-0.0054"
"167","P00738_HP","P00738_HP","-0.0574","-0.1639","0.1784","0.0227"
"168","A0A0A0MTS2_GPI","A0A0A0MTS2_GPI","0.02","0.1067","0.0399","-0.1765"
"169","CON__P01966","CON__P01966","-0.1282","0.1385","-0.1411","0.1757"
"170","P02790_HPX","P02790_HPX","0.0319","-0.1754","0.1182","3e-04"
"171","Q8TDL5_BPIFB1","Q8TDL5_BPIFB1","0.0988","0.1715","-0.1527","-0.1086"
"172","P01024_C3","P01024_C3","0.066","-0.1711","0.08","8e-04"
"173","Q9HC84_MUC5B","Q9HC84_MUC5B","0.021","0.1414","-0.1702","0.0327"
"174","P06870_KLK1","P06870_KLK1","-0.1698","0.1291","-0.0511","0.1286"
"175","A0A087WZM5_FKBP1A","A0A087WZM5_FKBP1A","-0.0918","0.1019","0.1497","-0.1694"
"176","P35579_MYH9","P35579_MYH9","0.1689","0.0097","-0.1448","-0.0378"
"177","P0C0L5_C4B","P0C0L5_C4B","0.1008","-0.1661","0.0601","-0.0217"
"178","P80748","P80748","0.1652","0.122","-0.1527","-0.1367"
"179","P20618_PSMB1","P20618_PSMB1","0.1348","-0.1453","0.1302","-0.1638"
"180","P10909-2_CLU","P10909-2_CLU","-0.1601","0.1318","0.1186","-0.0834"
"181","A0A087WVN6","A0A087WVN6","-0.1598","0.0114","0.0699","0.0934"
"182","A0A087X130","A0A087X130","-0.1516","0.1594","0.1494","-0.1569"
"183","P23381_WARS","P23381_WARS","-0.1343","0.1407","0.1502","-0.1592"
"184","B4E1Z4_CFB","B4E1Z4_CFB","0.0941","-0.0283","-0.159","0.1041"
"185","P09382_LGALS1","P09382_LGALS1","0.0389","-0.0179","0.1124","-0.1586"
"186","P12273_PIP","P12273_PIP","-0.0683","0.1573","-0.1216","0.0643"
"187","CON__P02538_KRT6A","CON__P02538_KRT6A","0.1021","0.1217","-0.1572","-0.0573"
"188","P01033_TIMP1","P01033_TIMP1","-0.1373","0.1555","0.1294","-0.1464"
"189","D6RF35_GC","D6RF35_GC","-0.0146","-0.1553","0.103","0.0522"
"190","O15511-2_ARPC5","O15511-2_ARPC5","0.1071","0.0311","-0.154","0.0236"
"191","Q9BRF8_CPPED1","Q9BRF8_CPPED1","0.1222","0.0624","-0.0456","-0.1518"
"192","P23280_CA6","P23280_CA6","-0.0964","0.1503","-0.0699","0.0437"
"193","A0A087X2C0","A0A087X2C0","-0.0973","-0.0034","0.149","-0.0569"
