"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"70","P22532_SPRR2D","P22532_SPRR2D","-0.1884","-0.021","-0.0278","0.288"
"71","P08238_HSP90AB1","P08238_HSP90AB1","0.2875","-0.1666","0.0079","-0.1654"
"72","P12814_3_ACTN1","P12814_3_ACTN1","0.119","0.0934","0.0292","-0.2839"
"73","P68431_HIST1H3A","P68431_HIST1H3A","0.133","0.0893","0.017","-0.2819"
"74","Q9UKR3_KLK13","Q9UKR3_KLK13","-0.2771","0.2759","-0.039","0.0795"
"75","Q32Q12_NME1_NME2","Q32Q12_NME1_NME2","0.1493","0.0147","0.0623","-0.2766"
"76","CON__Q3MHH8","CON__Q3MHH8","-0.1971","0.153","0.2751","-0.2396"
"77","Q9Y6R7_FCGBP","Q9Y6R7_FCGBP","-0.1673","-0.0578","-6e-04","0.2706"
"78","P03973_SLPI","P03973_SLPI","0.0466","0.1571","-0.2702","0.069"
"79","P08603_CFH","P08603_CFH","-3e-04","-0.1542","0.2695","-0.1233"
"80","P63313_TMSB10","P63313_TMSB10","-0.2679","0.0697","0.1414","0.0498"
"81","P01033_TIMP1","P01033_TIMP1","-0.0452","0.176","0.1277","-0.2675"
"82","Q8TAX7_MUC7","Q8TAX7_MUC7","0.0614","0.1353","-0.2648","0.0681"
"83","Q14CN2_CLCA4","Q14CN2_CLCA4","0.0511","0.2621","-0.2059","-0.0893"
"84","P09382_LGALS1","P09382_LGALS1","0.2614","-0.1511","0.0969","-0.2517"
"85","P11215_2_ITGAM","P11215_2_ITGAM","0.0974","0.186","-0.2613","-0.003"
"86","P13688_CEACAM1","P13688_CEACAM1","0.0444","0","0.1724","-0.2606"
"87","P30101_PDIA3","P30101_PDIA3","0.1734","0.1899","-0.2593","-0.0945"
"88","P61160_ACTR2","P61160_ACTR2","0.1426","-0.044","0.1271","-0.2591"
"89","A0A087WT59_TTR","A0A087WT59_TTR","0.0828","-0.2583","0.0584","0.0756"
"90","P31025_LCN1","P31025_LCN1","-0.2567","0.1411","0","0.146"
"91","P68371_TUBB4B","P68371_TUBB4B","0.1952","0.1294","-0.2545","-0.0639"
"92","P01008_SERPINC1","P01008_SERPINC1","-0.0715","-0.0288","0.2542","-0.1514"
"93","B1AK88_CAPZB","B1AK88_CAPZB","0.0253","-0.0074","0.2074","-0.2541"
"94","P68032_ACTC1","P68032_ACTC1","0.1186","-0.2529","0.0972","0"
"95","CON__P13646_1","CON__P13646_1","0.0854","0.2407","-0.252","-0.0545"
"96","P07900_2_HSP90AA1","P07900_2_HSP90AA1","0.0452","0.1971","0","-0.2517"
"97","P06576_ATP5B","P06576_ATP5B","0.1475","-0.0866","0.1534","-0.2517"
"98","P35579_MYH9","P35579_MYH9","0.1933","0.0849","-0.0477","-0.25"
"99","P0C0S8_HIST1H2AG","P0C0S8_HIST1H2AG","0.0885","0.094","0.0272","-0.2481"
"100","P00489_PYGM","P00489_PYGM","0.1797","-0.2476","-0.0845","0.1393"
"101","O00391_QSOX1","O00391_QSOX1","0.186","0.2475","-0.2249","-0.205"
"102","Q8TDL5_BPIFB1","Q8TDL5_BPIFB1","0.1183","0.1889","-0.0674","-0.2473"
"103","P10412_HIST1H1E","P10412_HIST1H1E","0.0812","-0.247","0.0446","0.0817"
"104","Q08188_TGM3","Q08188_TGM3","0.0967","0.13","0","-0.2441"
"105","P80511_S100A12","P80511_S100A12","-0.0344","0.2431","-0.0282","-0.1488"
"106","B7ZKJ8_ITIH4","B7ZKJ8_ITIH4","0.1897","-0.131","0.1423","-0.2422"
"107","P01767","P01767","-0.0263","0.1173","0.1334","-0.2366"
"108","P55786_NPEPPS","P55786_NPEPPS","0.1842","0","0.0194","-0.2333"
"109","Q14697_2_GANAB","Q14697_2_GANAB","0.0189","0","0.1752","-0.2322"
"110","Q6P5S2_C6orf58","Q6P5S2_C6orf58","0","0.1159","-0.2317","0.1251"
"111","CON__P08779_KRT16","CON__P08779_KRT16","0.1817","0.0851","-0.054","-0.2299"
"112","P01023_A2M","P01023_A2M","0","-0.229","0.138","0.0503"
"113","O43707_ACTN4","O43707_ACTN4","0.2285","-0.0694","-0.0824","-0.0721"
"114","P01593","P01593","-0.1271","-0.1604","0.0703","0.2255"
"115","CON__P02769_ALB","CON__P02769_ALB","0.1541","-0.2242","-0.0917","0.1527"
"116","Q06830_PRDX1","Q06830_PRDX1","0.1122","0.1122","-0.0139","-0.2241"
"117","Q9HD89_RETN","Q9HD89_RETN","0.2181","-0.0244","0.0022","-0.223"
"118","E7EQR4_EZR","E7EQR4_EZR","0.2093","-0.0129","0","-0.2171"
"119","P07996_THBS1","P07996_THBS1","0.0563","0.216","-0.1185","-0.1473"
"120","CON__P13647_KRT5","CON__P13647_KRT5","0.1932","0.1192","-0.2149","-0.096"
"121","P04792_HSPB1","P04792_HSPB1","0.1264","0.0673","-0.2132","0.005"
"122","P29508_SERPINB3","P29508_SERPINB3","0.0076","0.0668","-0.2132","0.1391"
"123","P31949_S100A11","P31949_S100A11","0.1217","-0.2128","0.0255","0.0234"
"124","P01877_IGHA2","P01877_IGHA2","0.0413","0.0823","-0.2117","0.084"
"125","P04196_HRG","P04196_HRG","0.1056","-0.192","0.2115","-0.1644"
"126","P02763_ORM1","P02763_ORM1","0.1089","-0.2096","0.1007","-0.0259"
"127","P19971_2_TYMP","P19971_2_TYMP","0.2085","0","-0.0621","-0.1521"
"128","Q9BRA2_TXNDC17","Q9BRA2_TXNDC17","-0.0643","-0.0624","0.2054","-0.0709"
"129","P59665_DEFA1","P59665_DEFA1","0.04","0.0731","-0.2046","0.0867"
"130","P23284_PPIB","P23284_PPIB","0.0444","0.1051","0.0223","-0.204"
"131","P16402_HIST1H1D","P16402_HIST1H1D","-0.0113","0.2029","-0.0366","-0.1251"
"132","P00924_ENO1","P00924_ENO1","0.1721","-0.2018","-0.0812","0.0984"
"133","P16401_HIST1H1B","P16401_HIST1H1B","0.0759","0.0538","-0.2004","0.0609"
"134","P06310","P06310","0.0836","0.0207","0.0542","-0.1996"
"135","P02814_SMR3B","P02814_SMR3B","-0.0142","-0.1918","0.0085","0.1995"
"136","Q02413_DSG1","Q02413_DSG1","0.0264","0.1981","-0.1038","-0.1122"
"137","O00764_PDXK","O00764_PDXK","0.0758","0.1975","-0.0906","-0.1821"
"138","P00441_SOD1","P00441_SOD1","-0.1517","0.1284","-0.136","0.1951"
"139","Q14974_KPNB1","Q14974_KPNB1","0.1946","-0.032","-0.054","-0.1032"
"140","B4E1Z4_CFB","B4E1Z4_CFB","0.1939","-0.1444","0","-0.0718"
"141","F5H5D3_TUBA1C","F5H5D3_TUBA1C","0.1932","-0.0241","-0.1246","-0.0302"
"142","P02647_APOA1","P02647_APOA1","0.0664","-0.1916","0.0888","0"
"143","A0A075B6R9","A0A075B6R9","0.1907","-0.0114","-0.1464","-0.0155"
"144","P20160_AZU1","P20160_AZU1","0.1535","0.1147","-0.0879","-0.1898"
"145","Q02487_DSC2","Q02487_DSC2","-0.1846","0.1896","-0.0832","0.1114"
"146","C9JV77_AHSG","C9JV77_AHSG","-0.1875","0","0.0812","0.1004"
"147","K7ELL7_PRKCSH","K7ELL7_PRKCSH","-0.1068","-0.1849","0.1569","0.1298"
"148","Q9HC84_MUC5B","Q9HC84_MUC5B","0.0092","0.1189","-0.1839","0.0523"
"149","P02675_FGB","P02675_FGB","0.1293","-0.1839","0.0887","-0.0611"
"150","P31146_CORO1A","P31146_CORO1A","-0.0251","0.1836","-0.0236","-0.1051"
"151","P12273_PIP","P12273_PIP","-0.0764","0.1818","-0.1406","0.0621"
"152","Q9UBG3_CRNN","Q9UBG3_CRNN","0.1804","0","-0.1198","-0.0499"
"153","C9JC84_FGG","C9JC84_FGG","0.1114","-0.1802","0.0607","-0.0132"
"154","P40121_CAPG","P40121_CAPG","0.0487","0.0689","-0.1801","0.0535"
"155","P02671_FGA","P02671_FGA","0.1123","-0.1796","0.0284","0"
"156","P00738_HP","P00738_HP","0","-0.1782","0.159","0"
"157","P01009_SERPINA1","P01009_SERPINA1","-0.1196","-0.1765","0.1396","0.1553"
"158","P09429_HMGB1","P09429_HMGB1","0.1763","-0.0067","-0.1367","-0.0149"
"159","P01024_C3","P01024_C3","0.0711","-0.1739","0.0819","0"
"160","P55058_PLTP","P55058_PLTP","-0.1734","0.0804","0","0.1113"
"161","P02790_HPX","P02790_HPX","0.0612","-0.1733","0.1243","-0.0351"
"162","Q9BRF8_CPPED1","Q9BRF8_CPPED1","0.0895","0.03","-0.1725","0.038"
"163","P69905_HBA1","P69905_HBA1","0.1725","-0.1044","-0.0588","-6e-04"
"164","O15511_2_ARPC5","O15511_2_ARPC5","0.0824","-0.1567","-0.0975","0.1724"
"165","Q9H0U4_RAB1B","Q9H0U4_RAB1B","0.1712","-0.1014","0.0543","-0.152"
"166","P06870_KLK1","P06870_KLK1","-0.1707","0.1361","-0.0604","0.1236"
"167","P04083_ANXA1","P04083_ANXA1","0.1239","0.011","-0.1696","0.015"
"168","A0A087WSX4","A0A087WSX4","-0.1693","0.0818","0.1276","-0.0336"
"169","P07339_CTSD","P07339_CTSD","-0.0979","0.1687","-0.0384","0"
"170","CON__P01966","CON__P01966","0","-0.095","-0.055","0.1686"
"171","P01859_IGHG2","P01859_IGHG2","0.0507","-0.1674","0.1049","-0.0074"
"172","P30044_PRDX5","P30044_PRDX5","0.1645","-0.0269","-0.0375","-0.0932"
"173","P01861_IGHG4","P01861_IGHG4","0","-0.1507","0.1644","-0.017"
"174","P04745_AMY1A","P04745_AMY1A","-0.1626","0.0573","0.0365","0.0616"
"175","P61769_B2M","P61769_B2M","0","0.0691","-0.1607","0.108"
"176","CON__P02538_KRT6A","CON__P02538_KRT6A","0.13","0.0822","-0.1571","-0.0529"
"177","P05164_3_MPO","P05164_3_MPO","0.0663","0.1234","-0.0399","-0.1544"
