"X","X.1","out$p.value"
"K7ELL7_PRKCSH","K7ELL7_PRKCSH",0.364752374388392
"P62805_HIST1H4A","P62805_HIST1H4A",0.368899035495463
"A0A087WZM2_RNASET2","A0A087WZM2_RNASET2",0.370844662743798
"P55786_NPEPPS","P55786_NPEPPS",0.373455582535394
"P16401_HIST1H1B","P16401_HIST1H1B",0.378730757284912
"P68431_HIST1H3A","P68431_HIST1H3A",0.379233653891952
"C9JV77_AHSG","C9JV77_AHSG",0.405164410811672
"P59665_DEFA1","P59665_DEFA1",0.406620602588614
"CON__P13647_KRT5","CON__P13647_KRT5",0.411897508708847
"P01593","P01593",0.415239268778373
"P80748","P80748",0.418991159000739
"P62258_YWHAE","P62258_YWHAE",0.421353481577374
"Q6P5S2_C6orf58","Q6P5S2_C6orf58",0.422242948128927
"P37802-2_TAGLN2","P37802-2_TAGLN2",0.423757407666539
"P00330_ADH1","P00330_ADH1",0.42765811686249
"P01877_IGHA2","P01877_IGHA2",0.432199892551471
"CON__P01966","CON__P01966",0.435084292404285
"Q14974_KPNB1","Q14974_KPNB1",0.444496156901529
"A0A087X130","A0A087X130",0.444915814578735
"Q02413_DSG1","Q02413_DSG1",0.445797029980025
"P29508_SERPINB3","P29508_SERPINB3",0.452104460949746
"Q8TDL5_BPIFB1","Q8TDL5_BPIFB1",0.459708883027946
"P02760_AMBP","P02760_AMBP",0.468413062784341
"P23381_WARS","P23381_WARS",0.477181247729551
"A0A075B6R9","A0A075B6R9",0.483672074632183
"P01033_TIMP1","P01033_TIMP1",0.496167251258555
"P52566_ARHGDIB","P52566_ARHGDIB",0.496868311303455
"P00489_PYGM","P00489_PYGM",0.519775428822151
"P01861_IGHG4","P01861_IGHG4",0.530811297962637
"P06310","P06310",0.536365488039254
"A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3",0.542938554992505
"P10909-2_CLU","P10909-2_CLU",0.550967901987319
"P20618_PSMB1","P20618_PSMB1",0.551817549531758
"B4E1Z4_CFB","B4E1Z4_CFB",0.556535072028738
"P23284_PPIB","P23284_PPIB",0.562293906148709
"P02769_ALB","P02769_ALB",0.565826067051539
"P18206_VCL","P18206_VCL",0.566533913472767
"P06737_PYGL","P06737_PYGL",0.570624614731066
"P61769_B2M","P61769_B2M",0.573798762039176
"P00924_ENO1","P00924_ENO1",0.581124810812715
"P55058_PLTP","P55058_PLTP",0.581858999242208
"P04040_CAT","P04040_CAT",0.583473733305055
"Q9H0U4_RAB1B","Q9H0U4_RAB1B",0.589858926823745
"P07108-6_DBI","P07108-6_DBI",0.600118985508787
"Q68D86_CCDC102B","Q68D86_CCDC102B",0.604247830359099
"P04196_HRG","P04196_HRG",0.60556763424568
"P21333_FLNA","P21333_FLNA",0.60601550596915
"P02647_APOA1","P02647_APOA1",0.608379079267463
"P78417_GSTO1","P78417_GSTO1",0.614942104377146
"B7ZKJ8_ITIH4","B7ZKJ8_ITIH4",0.618746221628522
"P02671_FGA","P02671_FGA",0.619187394224482
"O60888-2_CUTA","O60888-2_CUTA",0.620581261264298
"P01042-2_KNG1","P01042-2_KNG1",0.620751345727216
"CON__P13646-1","CON__P13646-1",0.641371299787401
"Q14847_LASP1","Q14847_LASP1",0.643671721099079
"A0A087WZM5_FKBP1A","A0A087WZM5_FKBP1A",0.644022946228507
"P22894_MMP8","P22894_MMP8",0.650212001185233
"P02763_ORM1","P02763_ORM1",0.652617346804152
"A0A024R6X1_CES2","A0A024R6X1_CES2",0.656193514722225
"P09382_LGALS1","P09382_LGALS1",0.664915496465214
"P01023_A2M","P01023_A2M",0.670845419465388
"P19961_AMY2B","P19961_AMY2B",0.672388920632107
"P61158_ACTR3","P61158_ACTR3",0.676976084137275
"P08246_ELANE","P08246_ELANE",0.68234398148116
"P19971-2_TYMP","P19971-2_TYMP",0.6871209475045
"P17931_LGALS3","P17931_LGALS3",0.688789805862865
"P02675_FGB","P02675_FGB",0.711581268817389
"P00450_CP","P00450_CP",0.711795635630029
"REV__Q13085-4","REV__Q13085-4",0.721636944500437
"A0A087WVN6","A0A087WVN6",0.72220785907719
"P00738_HP","P00738_HP",0.725458273975261
"P01859_IGHG2","P01859_IGHG2",0.73400678790923
"P02790_HPX","P02790_HPX",0.738693276238078
"P02750_LRG1","P02750_LRG1",0.745869174616668
"P0C0L5_C4B","P0C0L5_C4B",0.756605880178827
"P02787_TF","P02787_TF",0.759600580229609
"Q9BRF8_CPPED1","Q9BRF8_CPPED1",0.765332570904477
"P01024_C3","P01024_C3",0.766147241009802
"P31025_LCN1","P31025_LCN1",0.770769036759785
"O15511-2_ARPC5","O15511-2_ARPC5",0.777226647781049
"D6RF35_GC","D6RF35_GC",0.778570258362207
"P04792_HSPB1","P04792_HSPB1",0.784690836217423
"C9JC84_FGG","C9JC84_FGG",0.790929198949926
"A0A087WV47_IGHG1","A0A087WV47_IGHG1",0.802340731780285
"P69905_HBA1","P69905_HBA1",0.804821326775329
"P35579_MYH9","P35579_MYH9",0.809944410764425
"P16403_HIST1H1C","P16403_HIST1H1C",0.825026198963591
"P01714","P01714",0.840082851767185
"P61626_LYZ","P61626_LYZ",0.842265316103696
"P04083_ANXA1","P04083_ANXA1",0.842506774040715
"P68871_HBB","P68871_HBB",0.843298977031876
"P01763","P01763",0.846347760519467
"O00764_PDXK","O00764_PDXK",0.850711485720745
"CON__P02768-1_ALB","CON__P02768-1_ALB",0.861595364724558
"P04217_A1BG","P04217_A1BG",0.86285140838814
"CON__P02538_KRT6A","CON__P02538_KRT6A",0.863722157863318
"X6R8F3_LCN2","X6R8F3_LCN2",0.865887805428921
"P68032_ACTC1","P68032_ACTC1",0.885210520547348
"P06870_KLK1","P06870_KLK1",0.891581309858034
"P15153_RAC2","P15153_RAC2",0.894285121669997
"CON__P00761","CON__P00761",0.894484449616671
"P13796_LCP1","P13796_LCP1",0.898273614328639
"P26038_MSN","P26038_MSN",0.898529912381941
"F5H5D3_TUBA1C","F5H5D3_TUBA1C",0.899323292326196
"P24158_PRTN3","P24158_PRTN3",0.900397729080757
"P06702_S100A9","P06702_S100A9",0.900568937549746
"P06314_IGKV4-1","P06314_IGKV4-1",0.908400743437725
"O75626_PRDM1","O75626_PRDM1",0.912642259574895
"P01623","P01623",0.913498413883446
"Q9HC84_MUC5B","Q9HC84_MUC5B",0.914909964650281
"P05109_S100A8","P05109_S100A8",0.916698049091698
"P01717","P01717",0.917022389114412
